user_id,item_id,title,actual_rating,predicted_rating,is_rating_float
A2RYSCZOPEXOCQ,B00AL4XD7M,"Caboodles Heart Throb Long Tapered Tote, Black Diamond, 1.12 Pound",5.0,4.0,True
A141OPVE376YFI,B000EG8HLE,Philips Norelco BG2020 BodyGroom,4.0,5.0,True
A1TVTDKNMSQ7XU,B001AJD0UM,Philips Norelco 7810XL Men's Cutting System,5.0,5.0,True
A3J0LOCVOIEDNE,B01AS25Y0U,Pump for 33.8 oz American Crew Bottles,5.0,4.5,True
AD1WVH9MP1ZS6,B00G5L867C,"Philips Sonicare Sonic Electric Rechargeable Toothbrush for Kids, HX6311/07",5.0,4.0,True
AI6UBVJ1SXJEJ,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,5.0,True
AVWIQEW3S4K7Z,B01AVJCDYA,"Sol De Janeiro Brazilian Crush Body Fragrance Mist, 3.04 Ounce",4.0,4.5,True
A2AHHKQAG09J41,B000FTYALG,"Aqua Velva After Shave, Classic Ice Blue, 3.5 Ounce",5.0,5.0,True
A10ZBR6O8S8OCY,B00EF1QRMU,"Toni&amp;Guy Glamour Volume Plumping Whip, 2.82 Fluid Ounce",4.0,4.5,True
A2X3HY225S0L3T,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,5.0,True
AVZNYJVJ7HJ9M,B00RR35FAI,"AmLactin Ultra Triple Action Alpha Hydroxy Acid Hydrating Body Cream 4.9 oz., Pack of 4",5.0,4.0,True
ABPNZ9RKXOP0E,B000V5Z4J6,Philips Sonicare UV Sanitizer,5.0,5.0,True
A198RQKA8VFDQ8,B00AQXD2HO,SenzAway Tooth Desensitizing Gel,5.0,5.0,True
A1CYTBE7LLUQ8F,B001F51QIO, Gillette Clinical Advance Solid Sport Triumph 1.7 Ounce,5.0,4.5,True
A6FIAB28IS79,B000H6A02A,Remington MS2-390 Microscreen Rechargeable/Corded Men's Shaver,5.0,4.5,True
A3FKGKUCI3DG9U,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,5.0,True
A2NZGC22KNCRNI,B002G8L0LC,Beginners Bondage Fantasy Kit,4.0,4.5,True
AAV5IVZ1RNQU1,B000FTYALG,"Aqua Velva After Shave, Classic Ice Blue, 3.5 Ounce",5.0,5.0,True
A1JZFGZEZVWQPY,B00BXPVIT8,"Braun Clean &amp; Renew Refill Cartridges CCR, 4 Count (Packaging May Vary)",5.0,5.0,True
ANV9L0JU6BNL,B01A4XPV56,"Oud Wood Oil. IMPRESSION of Tom Ford Oud Wood* Cologne for Men with SIMILAR Fragrance Accords, 10ml Amber Glass Roller, Black Cap; 100% Pure (Perfume Studio Oud Wood VERSION/TYPE; Not Original Brand)",2.0,5.0,True
ACTVXNBEPLW2S,B000052YAN,"Reach Dentotape Waxed Dental Floss with Extra Wide Cleaning Surface for Large Spaces between Teeth, Unflavored, 100 Yards",4.0,5.0,True
A3CIUOJXQ5VDQ2,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,5.0,True
A3TA8JVTYTXHKA,B00IZG78WY,"BEST Dark Spot Corrector With Hyaluronic, Glycolic &amp; Kojic Acid - Large 1.7 OZ - No Harmful Hydroquinone, Mercury Or Parabens - Face &amp; Body Serum Reduces Age Spots &amp; Sun Spots In Men &amp; Women",4.0,5.0,True
A1IYW63ZV9E8YK,B001F51RBU,Oral-B Glide Threader Floss (Pack of 4),5.0,4.5,True
AA135P8N5Y3MZ,B003M6WYW6,"Gillette Fusion Aftershave Lotion - 3.3 Oz, Pack of 2",5.0,5.0,True
APLRAELXAIVWZ,B004CM406C,"B&aacute;lla for Men Body Powder - Tingle Formula, 100g",1.0,2.0,True
A3AMP8ZS2WQ94N,B0000530HU,"Aqua Velva After Shave, Classic Ice Blue, 7 Ounce",5.0,5.0,True
A27ZOVTXLR1FKY,B001QY8QXM,"Astra Platinum Double Edge Safety Razor Blades ,100 Blades (20 x 5)",5.0,4.0,True
A1Y5A7CWQI06W8,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,4.5,True
AXJ1QYBUL86ON,B002V87EFS,MAYBELLINE XXL Extensions Mascara - VERY BLACK,4.0,4.5,True
A3H7T87S984REU,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,5.0,True
A3J034YH7UG4KT,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,1.0,1.0,True
A10Y59HW4O47N0,B001E5PLCM,"Clubman Lustray Blue Spice After Shave, 128 Fluid Ounce",5.0,4.5,True
AJKZF45F36GM6,B000FTYALG,"Aqua Velva After Shave, Classic Ice Blue, 3.5 Ounce",4.0,4.5,True
A3IUZTFFQM3H31,B0000530HU,"Aqua Velva After Shave, Classic Ice Blue, 7 Ounce",5.0,5.0,True
A2UEO5XR3598GI,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,3.0,4.0,True
AW7BIYHXUIZ62,B00QHX7NT0,bliss Fabgirlslim Hide and Go Sleek Tinted Body Spray,4.0,4.5,True
ANBR2638OZ26C,B0010DMNFQ,BriteSmile Mouth Rinse 14 oz,5.0,1.0,True
A2C58G8O40YC7T,B001V9LAUI,Rimmel London Lasting Finish Intense Wear Lipstick - Birthday Suit,5.0,4.5,True
A6OFD9EMNRTXF,B01AHSUT8M,Lookatool&reg; 4Pcs Makeup Cosmetic Tool Eyeshadow Powder Foundation Blending Brush Set,3.0,5.0,True
A3K0801D5H1F0C,B0159ZECGI,W7 Banana Dreams Loose Face Powder,4.0,4.0,True
A1KOU7IY7OFDRW,B00TBXW8GG,MILANI Fierce Foil Nail Lacquer - Rome,5.0,3.0,True
A3ONPY80MN5SZL,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,2.0,2.5,True
A22CW0ZHY3NJH8,B00005JS5C,Panasonic Bikini Shaper and Trimmer for Women ES246AC; Compact; Portable Design with Adjustable Trim Settings; Battery Operated,5.0,4.5,True
A2AAKK8ZTE6G3X,B00FEOT6GQ,True Silk By Croc Professional Dial Flat Iron 1&quot; I-7 Plate RED Color,5.0,4.5,True
A2FXMO7VFH0KT6,B006WYJM8Y,"NARS Blush, Gaiety",5.0,4.5,True
A2ZKF3UU1TF14L,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",3.0,4.5,True
A19FRW264WZTGP,B008YQM4A6,Colgate Enamel Health Mouthwash,4.0,4.5,True
A7T7LSY3TN2F1,B003KWO3UI,Gillette Fusion Proglide Razor with Cartridge,5.0,5.0,True
A2PSC7LUNIDEAH,B001VEK1GW,"Braun bodyCruzer Men's Body Groomer, Titanium",4.0,4.5,True
A1UBUX7VM3QC9N,B000068PBK,Norelco 8865XL Spectra Shaving System,4.0,4.5,True
ABLOQZIL42W7I,B000NSU25M,"Crest Whitestrips, Daily Multicare, 84 strips",5.0,4.0,True
A2065HBMYDXJ1S,B00PMRE5A2,"Garnier Blur Flaws in 5 Seconds Flat, 0.5 fl. oz./ 15 ml.",3.0,4.0,True
A2DG9F8YOXNY7Y,B00009RB12,Norelco Mens Electric Razor - 7845XL,4.0,4.0,True
A245FDGAV2C3KW,B019809F9Y,Lectric Shave Pre-Shave Original 3 oz,5.0,5.0,True
ALVES1OA7MBXP,B000PKKAGO,Philips Norelco arcitec 1090 Men's Shaving System,3.0,4.0,True
A1IU7S4HCK1XK0,B00005354G,"Secret Platinum Protection Antiperspirant &amp; Deodorant, Soft Solid, Unscented (2.6 Ounces)",4.0,4.5,True
A1HYAA326Q4XU4,B001HC54SS,EXPIRED &amp; DISCONTINUED - Opti-Mologist Eye Cream With Light Diffusers .5 fl oz,2.0,3.0,True
