user_id,item_id,title,actual_rating,predicted_rating
62,1303,"Man Who Would Be King, The (1975)",3,4.0
131,1676,Starship Troopers (1997),1,4.0
236,2396,Shakespeare in Love (1998),4,4.0
361,3751,Chicken Run (2000),4,4.0
641,1204,Lawrence of Arabia (1962),5,5.0
810,593,"Silence of the Lambs, The (1991)",4,4.0
929,3591,Mr. Mom (1983),5,3.0
984,592,Batman (1989),4,4.0
1343,921,My Favorite Year (1982),5,4.0
1415,1294,M*A*S*H (1970),4,4.0
1446,1256,Duck Soup (1933),5,4.0
1579,1344,Cape Fear (1962),4,4.0
1696,1676,Starship Troopers (1997),4,3.0
1812,1667,Mad City (1997),4,4.0
1899,1013,"Parent Trap, The (1961)",4,4.0
1926,2396,Shakespeare in Love (1998),5,4.0
1980,2248,Say Anything... (1989),5,2.0
2042,1125,"Return of the Pink Panther, The (1974)",3,3.0
2046,1963,Take the Money and Run (1969),5,4.0
2063,2105,Tron (1982),3,3.0
2176,441,Dazed and Confused (1993),3,4.0
2368,3298,Boiler Room (2000),4,3.0
2605,1294,M*A*S*H (1970),3,4.0
2619,3363,American Graffiti (1973),4,5.0
2921,3363,American Graffiti (1973),5,3.0
2964,1204,Lawrence of Arabia (1962),4,3.0
3067,3763,F/X (1986),3,3.0
3177,593,"Silence of the Lambs, The (1991)",4,4.0
3198,2351,Nights of Cabiria (Le Notti di Cabiria) (1957),5,4.0
3251,1963,Take the Money and Run (1969),5,4.0
3286,3526,Parenthood (1989),3,4.0
3400,1294,M*A*S*H (1970),5,4.0
3402,2863,"Hard Day's Night, A (1964)",4,4.0
3468,3727,Near Dark (1987),4,4.0
3474,3174,Man on the Moon (1999),4,3.0
3546,1204,Lawrence of Arabia (1962),3,3.0
3797,314,"Secret of Roan Inish, The (1994)",5,4.0
4202,1127,"Abyss, The (1989)",1,4.0
4231,592,Batman (1989),3,3.0
4233,2427,"Thin Red Line, The (1998)",5,3.0
4273,1294,M*A*S*H (1970),5,4.0
4381,1009,Escape to Witch Mountain (1975),3,3.0
4429,2351,Nights of Cabiria (Le Notti di Cabiria) (1957),5,3.0
4958,2529,Planet of the Apes (1968),3,3.0
5017,1264,Diva (1981),4,3.0
5158,2396,Shakespeare in Love (1998),5,4.0
5185,1020,Cool Runnings (1993),3,3.0
5331,593,"Silence of the Lambs, The (1991)",5,4.0
5349,3526,Parenthood (1989),5,4.0
5429,593,"Silence of the Lambs, The (1991)",1,4.0
5572,593,"Silence of the Lambs, The (1991)",5,3.0
5620,1676,Starship Troopers (1997),2,3.0
5695,2529,Planet of the Apes (1968),3,3.0
5815,3328,Ghost Dog: The Way of the Samurai (1999),5,3.0
5911,233,Exotica (1994),4,4.0
5934,1294,M*A*S*H (1970),4,3.0
713,2872,Excalibur (1981),4,3.0
737,1264,Diva (1981),1,4.0
1087,3751,Chicken Run (2000),3,4.0
1327,1688,Anastasia (1997),3,4.0
1426,441,Dazed and Confused (1993),4,4.0
1598,1676,Starship Troopers (1997),3,3.0
1815,2053,"Honey, I Blew Up the Kid (1992)",2,4.0
1948,1590,Event Horizon (1997),1,3.0
3158,2863,"Hard Day's Night, A (1964)",3,4.0
4225,2333,Gods and Monsters (1998),1,4.0
5280,3174,Man on the Moon (1999),4,3.0
5294,1676,Starship Troopers (1997),1,4.0
1199,2094,"Rocketeer, The (1991)",3,4.0
1254,1959,Out of Africa (1985),5,4.0
3320,364,"Lion King, The (1994)",4,3.0
3360,3843,Sleepaway Camp (1983),3,3.0
4298,2746,Little Shop of Horrors (1986),4,3.0
4354,2053,"Honey, I Blew Up the Kid (1992)",1,4.0
4830,3717,Gone in 60 Seconds (2000),3,3.0
5653,3363,American Graffiti (1973),5,3.0
5683,1597,Conspiracy Theory (1997),4,4.0
5990,1125,"Return of the Pink Panther, The (1974)",3,3.0
253,1127,"Abyss, The (1989)",2,4.0
354,314,"Secret of Roan Inish, The (1994)",3,4.0
561,2161,"NeverEnding Story, The (1984)",5,5.0
735,592,Batman (1989),3,4.0
962,593,"Silence of the Lambs, The (1991)",5,4.0
1418,3438,Teenage Mutant Ninja Turtles (1990),3,2.0
1601,2396,Shakespeare in Love (1998),4,4.0
1607,3788,Blowup (1966),3,3.0
1785,3751,Chicken Run (2000),5,4.0
2196,3298,Boiler Room (2000),4,3.0
2344,3174,Man on the Moon (1999),2,3.0
2372,2333,Gods and Monsters (1998),5,4.0
2409,2067,Doctor Zhivago (1965),5,4.0
2508,3717,Gone in 60 Seconds (2000),4,3.0
2741,3298,Boiler Room (2000),4,3.0
2794,1963,Take the Money and Run (1969),4,4.0
2864,2396,Shakespeare in Love (1998),5,4.0
3074,3174,Man on the Moon (1999),4,4.0
3120,3717,Gone in 60 Seconds (2000),4,4.0
3325,3174,Man on the Moon (1999),2,3.0
3340,1676,Starship Troopers (1997),3,4.0
3450,593,"Silence of the Lambs, The (1991)",5,3.0
4266,3717,Gone in 60 Seconds (2000),4,3.0
4631,2427,"Thin Red Line, The (1998)",5,4.0
4656,1676,Starship Troopers (1997),3,3.0
5181,2396,Shakespeare in Love (1998),5,4.0
5347,542,Son in Law (1993),4,3.0
5678,2396,Shakespeare in Love (1998),4,3.0
5714,3579,I Dreamed of Africa (2000),3,3.0
5840,3363,American Graffiti (1973),4,4.0
25,1676,Starship Troopers (1997),4,4.0
