user_id,item_id,title,actual_rating,predicted_rating
1,2321,Pleasantville (1998),3,4.0
1,2294,Antz (1998),4,4.0
1,1246,Dead Poets Society (1989),4,4.0
1,2762,"Sixth Sense, The (1999)",4,5.0
2,1213,GoodFellas (1990),2,4.0
2,3451,Guess Who's Coming to Dinner (1967),4,4.0
2,1245,Miller's Crossing (1990),2,4.0
2,2628,Star Wars: Episode I - The Phantom Menace (1999),3,3.0
12,1233,"Boat, The (Das Boot) (1981)",3,3.0
12,999,2 Days in the Valley (1996),4,3.0
12,3362,Dog Day Afternoon (1975),3,3.0
12,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0
15,2997,Being John Malkovich (1999),2,3.0
15,367,"Mask, The (1994)",4,3.0
15,141,"Birdcage, The (1996)",4,3.0
15,3113,End of Days (1999),4,3.0
17,2762,"Sixth Sense, The (1999)",5,5.0
17,2455,"Fly, The (1986)",4,4.0
17,3713,"Long Walk Home, The (1990)",4,4.0
17,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",5,5.0
18,2253,Toys (1992),1,3.0
18,3703,Mad Max 2 (a.k.a. The Road Warrior) (1981),5,4.0
18,1499,Anaconda (1997),1,3.0
18,1,Toy Story (1995),4,4.0
19,1282,Fantasia (1940),3,4.0
19,1909,"X-Files: Fight the Future, The (1998)",4,4.0
19,1376,Star Trek IV: The Voyage Home (1986),3,4.0
19,1307,When Harry Met Sally... (1989),4,4.0
24,1225,Amadeus (1984),4,4.0
24,802,Phenomenon (1996),3,3.0
24,1394,Raising Arizona (1987),4,4.0
24,1259,Stand by Me (1986),4,4.0
28,144,"Brothers McMullen, The (1995)",2,4.0
28,3671,Blazing Saddles (1974),4,3.0
28,2908,Boys Don't Cry (1999),4,4.0
28,1200,Aliens (1986),4,4.0
33,1345,Carrie (1976),2,3.0
33,2648,Frankenstein (1931),4,3.0
33,2983,"Ipcress File, The (1965)",4,3.0
33,3168,Easy Rider (1969),3,3.0
39,2599,Election (1999),5,4.0
39,2997,Being John Malkovich (1999),5,4.0
39,1617,L.A. Confidential (1997),5,5.0
39,3793,X-Men (2000),4,4.0
42,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,4.0
42,2985,Robocop (1987),5,4.0
42,165,Die Hard: With a Vengeance (1995),4,4.0
42,3479,Ladyhawke (1985),4,4.0
44,3260,Howards End (1992),4,4.0
44,151,Rob Roy (1995),4,4.0
44,1396,Sneakers (1992),4,4.0
44,1748,Dark City (1998),3,4.0
47,1949,"Man for All Seasons, A (1966)",4,3.0
47,1208,Apocalypse Now (1979),4,3.0
47,1193,One Flew Over the Cuckoo's Nest (1975),4,5.0
47,2804,"Christmas Story, A (1983)",4,4.0
48,590,Dances with Wolves (1990),3,3.0
48,2004,Gremlins 2: The New Batch (1990),3,3.0
48,3926,Voyage to the Bottom of the Sea (1961),3,3.0
48,1801,"Man in the Iron Mask, The (1998)",3,3.0
49,349,Clear and Present Danger (1994),3,4.0
49,594,Snow White and the Seven Dwarfs (1937),3,4.0
49,364,"Lion King, The (1994)",4,5.0
49,494,Executive Decision (1996),4,4.0
53,2815,Iron Eagle (1986),3,3.0
53,2808,Universal Soldier (1992),3,3.0
53,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",5,4.0
53,919,"Wizard of Oz, The (1939)",5,4.0
54,2788,And Now for Something Completely Different (1971),5,3.0
54,3361,Bull Durham (1988),3,4.0
54,1235,Harold and Maude (1971),4,4.0
54,2150,"Gods Must Be Crazy, The (1980)",5,4.0
58,3328,Ghost Dog: The Way of the Samurai (1999),5,4.0
58,34,Babe (1995),4,4.0
58,541,Blade Runner (1982),5,4.0
58,1204,Lawrence of Arabia (1962),5,4.0
59,302,Queen Margot (La Reine Margot) (1994),2,4.0
59,1188,Strictly Ballroom (1992),4,4.0
59,1035,"Sound of Music, The (1965)",4,4.0
59,1959,Out of Africa (1985),4,4.0
62,1303,"Man Who Would Be King, The (1975)",3,4.0
62,909,"Apartment, The (1960)",4,4.0
62,928,Rebecca (1940),5,3.0
62,3101,Fatal Attraction (1987),4,4.0
80,3249,"Hand That Rocks the Cradle, The (1992)",3,4.0
80,1356,Star Trek: First Contact (1996),4,4.0
80,1416,Evita (1996),3,4.0
80,364,"Lion King, The (1994)",4,5.0
81,1224,Henry V (1989),5,4.0
81,908,North by Northwest (1959),5,5.0
81,912,Casablanca (1942),5,5.0
81,1218,"Killer, The (Die xue shuang xiong) (1989)",5,4.0
88,1090,Platoon (1986),3,4.0
88,1293,Gandhi (1982),4,5.0
88,2927,Brief Encounter (1946),5,4.0
88,1084,Bonnie and Clyde (1967),5,4.0
89,1193,One Flew Over the Cuckoo's Nest (1975),5,4.0
89,3408,Erin Brockovich (2000),4,4.0
89,370,Naked Gun 33 1/3: The Final Insult (1994),1,3.0
89,2791,Airplane! (1980),1,4.0
95,1249,Nikita (La Femme Nikita) (1990),4,3.0
95,589,Terminator 2: Judgment Day (1991),4,4.0
95,2718,Drop Dead Gorgeous (1999),4,3.0
95,1265,Groundhog Day (1993),5,4.0
96,2020,Dangerous Liaisons (1988),4,3.0
96,1073,Willy Wonka and the Chocolate Factory (1971),4,4.0
96,3916,Remember the Titans (2000),4,4.0
96,36,Dead Man Walking (1995),3,4.0
99,1416,Evita (1996),1,3.0
99,50,"Usual Suspects, The (1995)",5,4.0
99,3948,Meet the Parents (2000),3,3.0
99,2542,"Lock, Stock & Two Smoking Barrels (1998)",1,3.0
102,3786,But I'm a Cheerleader (1999),1,1.0
102,3534,28 Days (2000),5,1.0
102,1207,To Kill a Mockingbird (1962),5,1.0
102,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),5,1.0
104,2976,Bringing Out the Dead (1999),3,3.0
104,2724,Runaway Bride (1999),2,3.0
104,3053,"Messenger: The Story of Joan of Arc, The (1999)",5,3.0
104,998,Set It Off (1996),2,3.0
107,910,Some Like It Hot (1959),4,3.0
107,3468,"Hustler, The (1961)",4,4.0
107,1125,"Return of the Pink Panther, The (1974)",4,3.0
107,1947,West Side Story (1961),3,3.0
109,3061,Holiday Inn (1942),4,4.0
109,1920,Small Soldiers (1998),5,3.0
109,2792,Airplane II: The Sequel (1982),5,4.0
109,3675,White Christmas (1954),4,5.0
120,903,Vertigo (1958),3,3.0
120,3578,Gladiator (2000),4,4.0
120,296,Pulp Fiction (1994),5,4.0
120,2858,American Beauty (1999),4,4.0
123,2378,Police Academy (1984),3,3.0
123,3441,Red Dawn (1984),4,3.0
123,451,Flesh and Bone (1993),2,3.0
123,2450,Howard the Duck (1986),2,3.0
131,1676,Starship Troopers (1997),1,3.0
131,1717,Scream 2 (1997),2,3.0
131,1307,When Harry Met Sally... (1989),2,3.0
131,562,Welcome to the Dollhouse (1995),5,3.0
136,337,What's Eating Gilbert Grape (1993),5,2.0
136,3250,Alive (1993),2,2.0
136,2390,Little Voice (1998),1,2.0
136,971,Cat on a Hot Tin Roof (1958),5,4.0
139,1347,"Nightmare on Elm Street, A (1984)",5,3.0
139,3468,"Hustler, The (1961)",5,3.0
139,2105,Tron (1982),3,3.0
139,1243,Rosencrantz and Guildenstern Are Dead (1990),5,4.0
146,2183,"Man Who Knew Too Much, The (1956)",4,4.0
146,945,Top Hat (1935),5,3.0
146,337,What's Eating Gilbert Grape (1993),4,4.0
146,1584,Contact (1997),3,4.0
150,3499,Misery (1990),4,4.0
150,1299,"Killing Fields, The (1984)",4,4.0
150,1265,Groundhog Day (1993),3,3.0
150,2065,"Purple Rose of Cairo, The (1985)",4,4.0
151,52,Mighty Aphrodite (1995),3,3.0
151,1380,Grease (1978),4,3.0
151,2797,Big (1988),4,3.0
151,1617,L.A. Confidential (1997),5,4.0
155,2124,"Addams Family, The (1991)",3,3.0
155,1704,Good Will Hunting (1997),5,2.0
155,2735,"Golden Child, The (1986)",2,2.0
155,3157,Stuart Little (1999),3,3.0
166,3623,Mission: Impossible 2 (2000),3,3.0
166,2139,"Secret of NIMH, The (1982)",5,4.0
166,965,"39 Steps, The (1935)",3,4.0
166,1619,Seven Years in Tibet (1997),3,4.0
169,597,Pretty Woman (1990),2,4.0
169,3246,Malcolm X (1992),3,3.0
169,1080,Monty Python's Life of Brian (1979),4,4.0
169,2916,Total Recall (1990),5,3.0
175,1633,Ulee's Gold (1997),5,4.0
175,901,Funny Face (1957),4,5.0
175,1203,12 Angry Men (1957),4,4.0
175,2420,"Karate Kid, The (1984)",2,4.0
178,3921,Beach Party (1963),3,4.0
178,2311,2010 (1984),3,3.0
178,594,Snow White and the Seven Dwarfs (1937),4,4.0
178,2141,"American Tail, An (1986)",3,4.0
180,1132,Manon of the Spring (Manon des sources) (1986),4,3.0
180,3514,Joe Gould's Secret (2000),3,4.0
180,3481,High Fidelity (2000),4,4.0
180,2203,Shadow of a Doubt (1943),4,4.0
190,1466,Donnie Brasco (1997),5,4.0
190,21,Get Shorty (1995),3,4.0
