rating,reviewerID,asin,reviewText,summary,title
5.0,ANV9L0JU6BNL,B000052YAN,"best floss i've used. does not break as easily as others, and i have tight teeth.",best floss i've used,"Reach Dentotape Waxed Dental Floss with Extra Wide Cleaning Surface for Large Spaces between Teeth, Unflavored, 100 Yards"
5.0,ANV9L0JU6BNL,B000052YAN,"best floss i've used. does not break as easily as others, and i have tight teeth.",best floss i've used,"Reach Dentotape Waxed Dental Floss with Extra Wide Cleaning Surface for Large Spaces between Teeth, Unflavored, 100 Yards"
2.0,A2TU781PWGS09X,B00006L9LC,Doesnt smell,Two Stars,Citre Shine Moisture Burst Shampoo - 16 fl oz
2.0,A2TU781PWGS09X,B00006L9LC,Doesnt smell,Two Stars,Citre Shine Moisture Burst Shampoo - 16 fl oz
5.0,A3A8F2URN7MEPR,B00006L9LC,My favorite powder!,Five Stars,Citre Shine Moisture Burst Shampoo - 16 fl oz
5.0,A3A8F2URN7MEPR,B00006L9LC,My favorite powder!,Five Stars,Citre Shine Moisture Burst Shampoo - 16 fl oz
2.0,A2TU781PWGS09X,B000URXP6E,Doesnt smell,Two Stars,Bonne Bell Smackers Bath and Body Starburst Collection
5.0,A3A8F2URN7MEPR,B000URXP6E,My favorite powder!,Five Stars,Bonne Bell Smackers Bath and Body Starburst Collection
2.0,A2TU781PWGS09X,B0012Y0ZG2,Doesnt smell,Two Stars,Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz
5.0,A3A8F2URN7MEPR,B0012Y0ZG2,My favorite powder!,Five Stars,Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz
2.0,A2TU781PWGS09X,B0012Y0ZG2,Doesnt smell,Two Stars,Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz
5.0,A3A8F2URN7MEPR,B0012Y0ZG2,My favorite powder!,Five Stars,Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz
5.0,ANV9L0JU6BNL,B0015S8026,"A good product, a good seller, a good price. Sorry for the abbreviated review, but it annoys me that Amazon compels reviews to be so long. If I have anything important to add, I will. Otherwise, its hard to expand on the virtues of a USB cable, paper towels or socks.",great zit gel.,"Zapzyt Maximum Strength 10% Benzoyl Peroxide Acne Treatment Gel, 1 Ounce"
5.0,ANV9L0JU6BNL,B0015S8026,"A good product, a good seller, a good price. Sorry for the abbreviated review, but it annoys me that Amazon compels reviews to be so long. If I have anything important to add, I will. Otherwise, its hard to expand on the virtues of a USB cable, paper towels or socks.",great zit gel.,"Zapzyt Maximum Strength 10% Benzoyl Peroxide Acne Treatment Gel, 1 Ounce"
2.0,A2TU781PWGS09X,B001OHV1H4,Doesnt smell,Two Stars,"Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce"
5.0,A3A8F2URN7MEPR,B001OHV1H4,My favorite powder!,Five Stars,"Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce"
5.0,ANV9L0JU6BNL,B001QY8QXM,"best blades for the money. these are my everday go-go blades. great price, very comfy, and a good smooth blade for beginners.",best blades for the money.,"Astra Platinum Double Edge Safety Razor Blades ,100 Blades (20 x 5)"
5.0,A1U8L4X1O2LXXF,B00FE90M0K,"Amazing Toner/Prep by Mehron....OMG...you too can have a smooth looking face with makeup a day after shaving or immediately. Very, very, nice...and it does even out skin tone.  I use it with Be Pro Setting Spray. Mehron has their own setting spray...I'm sure it very, very nice too.",Mehron No Sweat Skin Prep Pro Primer 4.0 oz,Mehron Makeup Skin Prep Pro (4 oz)
5.0,A38IPSLKOQ5O2F,B00L62HMQG,"Fast delivery. I expected soe of the gems to be gone, but that never happened. Super excited!",Super excited!,Vktech&reg; 20pcs Mix Colors Rhinestone Nose Studs Ring Bone Bar Pin Piercing Jewelry
3.0,A38IPSLKOQ5O2F,B00NW59IM6,"Its a lot bigger than I thought, and the magnet doesn't stay like it should, But it looks like the picture and i still love it!.",and the magnet doesn't stay like it should,Vintage Cinderella Pumpkin Carriage Locket Pendant Chain Necklace Xmas Gift
5.0,A1U8L4X1O2LXXF,B00O9UPRCS,I've tried many things to apply costume makeup as an eyeliner...and this is the only thing that works so far without the makeup running into each other.  Excellent.  Thank you.  The eyeliners work great..they're just not dark enough with the black.,Professional Waterproof Black Elegant Eyeliner,Professional Waterproof Black Elegant EyeLiner Beauty Gel Mascara + Eyeliner Brush Makeup Tools
5.0,A38IPSLKOQ5O2F,B00RIWAJCM,Fits perfectly and looks fantastic. So glad I ordered this!,Five Stars,Charming Silver Colored Earring / Ear Cuff / Clip In Snake / Spiral Shape By VAGA
5.0,A1U8L4X1O2LXXF,B010B5ZE4U,Great product highlighter with shimmer....may need a good foundation base underneath....it does feel cool to my skin but my skin feels a bit more dry.  I do like look...but prefer my skin soft and supple.,Sugar Box...Great Product,Maquita Waterproof Portable Face Facial Highlighter Stick Shimmer Powder Makeup Silver
5.0,A1U8L4X1O2LXXF,B010B5ZE4U,Provides a nice shimmer that can be blended in and provides a nice feel and glide to the skin.  I do have fair skin and prefer the shimmer blended...  Great product.  Its very light...but might need a good foundation base to work best with the product or not... While it does feel cool to my skin...it does feel drier  I prefer my skin supple.,Sugar Box,Maquita Waterproof Portable Face Facial Highlighter Stick Shimmer Powder Makeup Silver
3.0,A38IPSLKOQ5O2F,B010L79142,"The lipstick is good, but it was broken when I received it in the mail. So, i ended up holding the tip in my hand to use it.","The lipstick is good, but it was broken when I received it ...",ROPALIA Cosmetic Makeup Waterproof Moisturize Lipstick Lip Stick Lip Gloss
5.0,A38IPSLKOQ5O2F,B019DWCJDG,Its so awesome i've recommended it to all my friends already.,Five Stars,Weixinbuy 1PC Secret Jelly Lipstick Color Changing Long Lasting Lip Gloss Random Color
