user_id,movie_title,predicted_rating
1,Dumbo (1941),3.0
2,One Flew Over the Cuckoo's Nest (1975),5.0
12,Almost Famous (2000),4.0
15,"Opposite of Sex, The (1998)",3.0
17,Escape from the Planet of the Apes (1971),3.0
18,"Aristocats, The (1970)",4.0
19,Stand by Me (1986),4.0
24,Out of Africa (1985),3.0
28,Monty Python and the Holy Grail (1974),3.0
33,"Last Picture Show, The (1971)",3.0
39,"Civil Action, A (1998)",4.0
42,One Flew Over the Cuckoo's Nest (1975),3.0
44,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
47,"Graduate, The (1967)",3.0
48,Hairspray (1988),3.0
49,Men in Black (1997),3.0
53,Conspiracy Theory (1997),4.0
54,Toy Story 2 (1999),4.0
58,Taxi Driver (1976),3.0
59,"Raisin in the Sun, A (1961)",3.0
62,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),3.0
80,Groundhog Day (1993),4.0
81,Saving Private Ryan (1998),4.0
88,"Killing Fields, The (1984)",2.0
89,One Flew Over the Cuckoo's Nest (1975),5.0
95,Jurassic Park (1993),3.0
96,Glory (1989),5.0
99,Robin Hood: Prince of Thieves (1991),3.0
102,Psycho (1960),4.0
104,F/X (1986),3.0
107,Metropolis (1926),1.0
109,Star Trek V: The Final Frontier (1989),2.0
120,Boogie Nights (1997),3.0
123,"Quick and the Dead, The (1995)",3.0
131,Star Wars: Episode VI - Return of the Jedi (1983),4.0
136,Dumb & Dumber (1994),1.0
139,"Jewel of the Nile, The (1985)",3.0
146,Gigi (1958),5.0
150,"South Park: Bigger, Longer and Uncut (1999)",4.0
151,Contact (1997),3.0
155,Out to Sea (1997),3.0
166,Deep Impact (1998),3.0
169,"English Patient, The (1996)",3.0
175,Kurt & Courtney (1998),2.0
178,"Princess Bride, The (1987)",4.0
180,"Official Story, The (La Historia Oficial) (1985)",4.0
190,"Mission, The (1986)",3.0
191,Amistad (1997),3.0
192,Star Trek III: The Search for Spock (1984),3.0
195,Runaway Bride (1999),3.0
196,Rear Window (1954),4.0
202,Children of the Corn (1984),3.0
206,Mission to Mars (2000),3.0
208,Fargo (1996),4.0
216,Blazing Saddles (1974),3.0
224,Good Will Hunting (1997),4.0
225,Harold and Maude (1971),3.0
227,Fight Club (1999),3.0
230,Private Benjamin (1980),4.0
231,Somewhere in Time (1980),3.0
235,Dick Tracy (1990),2.0
236,Blade Runner (1982),4.0
242,True Lies (1994),4.0
245,Hellraiser (1987),3.0
259,Shakespeare in Love (1998),4.0
261,"Big Lebowski, The (1998)",3.0
264,Raising Arizona (1987),3.0
265,"Black Cauldron, The (1985)",3.0
266,Beauty and the Beast (1991),3.0
270,"Treasure of the Sierra Madre, The (1948)",3.0
272,"Clockwork Orange, A (1971)",3.0
281,Wayne's World (1992),3.0
285,"Brother from Another Planet, The (1984)",3.0
287,Shakespeare in Love (1998),5.0
291,Raiders of the Lost Ark (1981),4.0
292,L.A. Confidential (1997),4.0
293,Terminal Velocity (1994),3.0
294,Poltergeist (1982),3.0
295,In the Line of Fire (1993),4.0
297,Alien (1979),3.0
299,"Christmas Story, A (1983)",3.0
300,"French Connection, The (1971)",3.0
301,Driving Miss Daisy (1989),4.0
306,Total Recall (1990),3.0
307,"Boat, The (Das Boot) (1981)",3.0
308,Dancer in the Dark (2000),2.0
309,Arachnophobia (1990),3.0
312,Raging Bull (1980),3.0
314,It's a Wonderful Life (1946),4.0
315,Miracle on 34th Street (1994),3.0
317,Chariots of Fire (1981),4.0
318,"Secret of Roan Inish, The (1994)",4.0
319,Nobody's Fool (1994),3.0
326,Army of Darkness (1993),3.0
327,One Flew Over the Cuckoo's Nest (1975),2.0
329,In the Army Now (1994),3.0
331,Smoke (1995),3.0
332,Groundhog Day (1993),4.0
333,My Fair Lady (1964),3.0
334,She's All That (1999),4.0
335,"Godfather: Part II, The (1974)",5.0
339,Women on the Verge of a Nervous Breakdown (1988),3.0
340,Snow White and the Seven Dwarfs (1937),3.0
349,Rocky V (1990),3.0
352,Mixed Nuts (1994),3.0
353,"Simple Plan, A (1998)",3.0
355,Almost Famous (2000),3.0
357,"NeverEnding Story, The (1984)",4.0
361,Return to Me (2000),3.0
366,"Man and a Woman, A (Un Homme et une Femme) (1966)",3.0
383,Philadelphia (1993),3.0
390,Invasion of the Body Snatchers (1956),3.0
392,"Saint, The (1997)",3.0
393,Double Indemnity (1944),4.0
402,"Untouchables, The (1987)",4.0
409,Weird Science (1985),3.0
411,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.0
424,Waking the Dead (1999),3.0
425,"Fabulous Baker Boys, The (1989)",3.0
437,Butch Cassidy and the Sundance Kid (1969),3.0
438,"Big Lebowski, The (1998)",3.0
439,"Patriot, The (2000)",3.0
440,Clear and Present Danger (1994),5.0
442,"Postino, Il (The Postman) (1994)",5.0
444,Waking Ned Devine (1998),4.0
445,Star Trek: Insurrection (1998),3.0
450,Raiders of the Lost Ark (1981),5.0
451,"Apartment, The (1960)",4.0
453,Cabin Boy (1994),3.0
456,Patriot Games (1992),5.0
457,"Me, Myself and Irene (2000)",2.0
460,What Planet Are You From? (2000),4.0
462,Star Trek: Generations (1994),4.0
464,Roman Holiday (1953),4.0
467,Witness (1985),3.0
473,It's a Wonderful Life (1946),3.0
477,Die Hard (1988),4.0
479,"Hunt for Red October, The (1990)",3.0
480,SLC Punk! (1998),3.0
482,Ghostbusters (1984),4.0
483,Monty Python and the Holy Grail (1974),3.0
489,"Shawshank Redemption, The (1994)",5.0
491,Fear and Loathing in Las Vegas (1998),4.0
502,"Goodbye Girl, The (1977)",4.0
504,Adventures in Babysitting (1987),3.0
505,"13th Warrior, The (1999)",3.0
507,Harold and Maude (1971),3.0
509,Field of Dreams (1989),3.0
513,"Doors, The (1991)",2.0
515,"Grifters, The (1990)",3.0
516,"Muppet Movie, The (1979)",4.0
520,Midnight in the Garden of Good and Evil (1997),3.0
524,187 (1997),3.0
526,One Flew Over the Cuckoo's Nest (1975),5.0
529,"Misérables, Les (1998)",3.0
531,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.0
533,Bob Roberts (1992),3.0
537,Belle de jour (1967),3.0
540,Twelve Monkeys (1995),3.0
541,Margaret's Museum (1995),3.0
549,E.T. the Extra-Terrestrial (1982),5.0
550,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),3.0
551,Vertigo (1958),3.0
554,Summer of Sam (1999),3.0
558,"Right Stuff, The (1983)",4.0
560,"Crow, The (1994)",3.0
564,"Body Snatcher, The (1945)",2.0
