user_id,item_id,title,actual_rating,predicted_rating
1,2321,Pleasantville (1998),3,3.0
2,1213,GoodFellas (1990),2,3.0
12,1233,"Boat, The (Das Boot) (1981)",3,3.0
15,2997,Being John Malkovich (1999),2,2.0
17,2762,"Sixth Sense, The (1999)",5,3.0
18,2253,Toys (1992),1,3.0
19,1282,Fantasia (1940),3,3.0
24,1225,Amadeus (1984),4,3.0
28,144,"Brothers McMullen, The (1995)",2,3.0
33,1345,Carrie (1976),2,2.0
39,2599,Election (1999),5,3.0
42,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,3.0
44,3260,Howards End (1992),4,3.0
47,1949,"Man for All Seasons, A (1966)",4,4.0
48,590,Dances with Wolves (1990),3,4.0
49,349,Clear and Present Danger (1994),3,3.0
53,2815,Iron Eagle (1986),3,2.0
54,2788,And Now for Something Completely Different (1971),5,3.0
58,3328,Ghost Dog: The Way of the Samurai (1999),5,0
59,302,Queen Margot (La Reine Margot) (1994),2,3.0
62,1303,"Man Who Would Be King, The (1975)",3,3.0
80,3249,"Hand That Rocks the Cradle, The (1992)",3,3.0
81,1224,Henry V (1989),5,3.0
88,1090,Platoon (1986),3,3.0
89,1193,One Flew Over the Cuckoo's Nest (1975),5,1.0
95,1249,Nikita (La Femme Nikita) (1990),4,4.0
96,2020,Dangerous Liaisons (1988),4,3.0
99,1416,Evita (1996),1,3.0
102,3786,But I'm a Cheerleader (1999),1,3.0
104,2976,Bringing Out the Dead (1999),3,3.0
107,910,Some Like It Hot (1959),4,3.0
109,3061,Holiday Inn (1942),4,3.0
120,903,Vertigo (1958),3,5.0
123,2378,Police Academy (1984),3,3.0
131,1676,Starship Troopers (1997),1,3.0
136,337,What's Eating Gilbert Grape (1993),5,3.0
139,1347,"Nightmare on Elm Street, A (1984)",5,3.0
146,2183,"Man Who Knew Too Much, The (1956)",4,4.0
150,3499,Misery (1990),4,3.0
151,52,Mighty Aphrodite (1995),3,3.0
155,2124,"Addams Family, The (1991)",3,4.0
166,3623,Mission: Impossible 2 (2000),3,4.0
169,597,Pretty Woman (1990),2,3.0
175,1633,Ulee's Gold (1997),5,3.0
178,3921,Beach Party (1963),3,3.0
180,1132,Manon of the Spring (Manon des sources) (1986),4,3.0
190,1466,Donnie Brasco (1997),5,3.0
191,65,Bio-Dome (1996),2,2.0
192,2174,Beetlejuice (1988),3,3.0
195,2147,"Clan of the Cave Bear, The (1986)",3,3.0
196,50,"Usual Suspects, The (1995)",5,4.0
202,2398,Miracle on 34th Street (1947),4,3.0
206,3300,Pitch Black (2000),5,3.0
208,3685,Prizzi's Honor (1985),3,3.0
216,1228,Raging Bull (1980),3,3.0
224,515,"Remains of the Day, The (1993)",2,3.0
225,3317,Wonder Boys (2000),3,3.0
227,2710,"Blair Witch Project, The (1999)",2,3.0
230,1230,Annie Hall (1977),4,3.0
231,1291,Indiana Jones and the Last Crusade (1989),4,3.0
235,2241,Class (1983),2,3.0
236,2396,Shakespeare in Love (1998),4,3.0
242,500,Mrs. Doubtfire (1993),3,3.0
245,112,Rumble in the Bronx (1995),3,3.0
259,1834,"Spanish Prisoner, The (1997)",4,3.0
261,1411,Hamlet (1996),4,3.0
264,1527,"Fifth Element, The (1997)",4,2.0
265,908,North by Northwest (1959),4,5.0
266,904,Rear Window (1954),5,3.0
270,3168,Easy Rider (1969),5,3.0
272,356,Forrest Gump (1994),5,5.0
281,1192,Paris Is Burning (1990),3,3.0
285,1527,"Fifth Element, The (1997)",3,3.0
287,1784,As Good As It Gets (1997),4,2.0
291,1198,Raiders of the Lost Ark (1981),3,3.0
292,307,Three Colors: Blue (1993),4,3.0
293,833,High School High (1996),1,3.0
294,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",4,3.0
295,21,Get Shorty (1995),5,3.0
297,818,"Very Brady Sequel, A (1996)",2,3.0
299,1446,Kolya (1996),5,3.0
300,329,Star Trek: Generations (1994),3,3.0
301,3060,"Commitments, The (1991)",4,3.0
306,296,Pulp Fiction (1994),5,3.0
307,608,Fargo (1996),5,4.0
308,953,It's a Wonderful Life (1946),4,3.0
309,2571,"Matrix, The (1999)",5,3.0
312,3617,Road Trip (2000),3,3.0
314,1035,"Sound of Music, The (1965)",5,4.0
315,950,"Thin Man, The (1934)",4,2.0
317,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0
318,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0
319,1357,Shine (1996),3,3.0
326,161,Crimson Tide (1995),3,3.0
327,3788,Blowup (1966),4,3.0
329,185,"Net, The (1995)",2,3.0
331,1527,"Fifth Element, The (1997)",4,3.0
332,1633,Ulee's Gold (1997),5,3.0
333,924,2001: A Space Odyssey (1968),5,2.0
334,2291,Edward Scissorhands (1990),2,3.0
335,1391,Mars Attacks! (1996),1,2.0
339,3654,"Guns of Navarone, The (1961)",4,3.0
340,2728,Spartacus (1960),4,3.0
349,70,From Dusk Till Dawn (1996),2,3.0
352,919,"Wizard of Oz, The (1939)",5,2.0
353,2514,Pet Sematary II (1992),2,2.0
355,3354,Mission to Mars (2000),3,3.0
357,1592,Air Bud (1997),1,0
361,3751,Chicken Run (2000),4,4.0
366,588,Aladdin (1992),3,4.0
383,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0
390,2900,Monkey Shines (1988),3,2.0
392,3175,Galaxy Quest (1999),4,3.0
393,535,Short Cuts (1993),3,4.0
402,3298,Boiler Room (2000),4,2.0
409,260,Star Wars: Episode IV - A New Hope (1977),5,3.0
411,1219,Psycho (1960),2,3.0
424,594,Snow White and the Seven Dwarfs (1937),5,3.0
425,356,Forrest Gump (1994),3,4.0
437,1196,Star Wars: Episode V - The Empire Strikes Back (1980),5,5.0
438,780,Independence Day (ID4) (1996),4,3.0
439,802,Phenomenon (1996),5,3.0
440,539,Sleepless in Seattle (1993),5,5.0
442,912,Casablanca (1942),5,3.0
444,1288,This Is Spinal Tap (1984),5,2.0
445,1200,Aliens (1986),3,3.0
450,608,Fargo (1996),5,3.0
451,3363,American Graffiti (1973),5,3.0
453,1254,"Treasure of the Sierra Madre, The (1948)",5,3.0
456,1240,"Terminator, The (1984)",4,3.0
457,1258,"Shining, The (1980)",5,3.0
460,1663,Stripes (1981),3,3.0
462,516,Renaissance Man (1994),3,3.0
464,2482,Still Crazy (1998),3,3.0
467,377,Speed (1994),3,3.0
473,3594,Center Stage (2000),4,3.0
477,2916,Total Recall (1990),4,2.0
479,3948,Meet the Parents (2000),5,3.0
480,3555,U-571 (2000),3,2.0
482,2126,Snake Eyes (1998),2,3.0
483,924,2001: A Space Odyssey (1968),4,3.0
489,3456,"Color of Paradise, The (Rang-e Khoda) (1999)",1,3.0
491,2915,Risky Business (1983),3,3.0
502,3244,"Goodbye Girl, The (1977)",4,5.0
504,1286,Somewhere in Time (1980),4,3.0
505,2971,All That Jazz (1979),5,3.0
507,1235,Harold and Maude (1971),5,2.0
509,1246,Dead Poets Society (1989),4,3.0
513,3863,"Cell, The (2000)",4,2.0
515,1169,American Dream (1990),5,3.0
516,588,Aladdin (1992),3,3.0
520,2109,"Jerk, The (1979)",5,3.0
524,3408,Erin Brockovich (2000),4,3.0
526,2905,Sanjuro (1962),5,4.0
529,1953,"French Connection, The (1971)",4,3.0
531,2804,"Christmas Story, A (1983)",3,3.0
533,372,Reality Bites (1994),2,3.0
537,2908,Boys Don't Cry (1999),4,3.0
540,2146,St. Elmo's Fire (1985),3,3.0
541,3147,"Green Mile, The (1999)",5,3.0
549,89,Nick of Time (1995),1,2.0
550,743,Spy Hard (1996),3,3.0
551,1358,Sling Blade (1996),4,3.0
554,2724,Runaway Bride (1999),2,3.0
558,1097,E.T. the Extra-Terrestrial (1982),5,3.0
560,2571,"Matrix, The (1999)",4,4.0
564,1262,"Great Escape, The (1963)",4,3.0
573,3176,"Talented Mr. Ripley, The (1999)",4,3.0
582,2050,Herbie Goes Bananas (1980),3,2.0
585,2968,Time Bandits (1981),4,3.0
587,1277,Cyrano de Bergerac (1990),4,2.0
588,3044,Dead Again (1991),4,3.0
591,1092,Basic Instinct (1992),3,3.0
599,2925,"Conformist, The (Il Conformista) (1970)",3,3.0
601,3253,Wayne's World (1992),3,3.0
611,2333,Gods and Monsters (1998),4,3.0
620,231,Dumb & Dumber (1994),3,0
622,2575,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",3,3.0
624,1274,Akira (1988),2,4.0
626,1242,Glory (1989),5,4.0
637,2140,"Dark Crystal, The (1982)",2,3.0
641,1204,Lawrence of Arabia (1962),5,3.0
650,3555,U-571 (2000),3,3.0
651,2701,Wild Wild West (1999),2,3.0
656,3606,On the Town (1949),3,3.0
660,296,Pulp Fiction (1994),5,3.0
661,2571,"Matrix, The (1999)",5,5.0
671,1245,Miller's Crossing (1990),4,3.0
673,3569,"Idiots, The (Idioterne) (1998)",5,2.0
677,1580,Men in Black (1997),4,3.0
679,2313,"Elephant Man, The (1980)",5,2.0
681,709,Oliver & Company (1988),3,3.0
682,1208,Apocalypse Now (1979),5,3.0
688,1222,Full Metal Jacket (1987),3,3.0
690,1959,Out of Africa (1985),1,3.0
691,1580,Men in Black (1997),4,4.0
692,2985,Robocop (1987),3,3.0
698,1301,Forbidden Planet (1956),3,4.0
699,595,Beauty and the Beast (1991),4,3.0
701,372,Reality Bites (1994),5,3.0
702,2002,Lethal Weapon 3 (1992),4,3.0
710,2146,St. Elmo's Fire (1985),2,3.0
711,1172,Cinema Paradiso (1988),5,4.0
719,3863,"Cell, The (2000)",3,3.0
721,594,Snow White and the Seven Dwarfs (1937),4,3.0
729,2393,Star Trek: Insurrection (1998),3,2.0
732,3791,Footloose (1984),3,3.0
733,3819,Tampopo (1986),4,4.0
743,3526,Parenthood (1989),2,4.0
744,1210,Star Wars: Episode VI - Return of the Jedi (1983),5,4.0
746,1762,Deep Rising (1998),1,3.0
748,366,Wes Craven's New Nightmare (1994),2,3.0
749,2001,Lethal Weapon 2 (1989),2,3.0
752,3408,Erin Brockovich (2000),4,3.0
755,1954,Rocky (1976),3,3.0
760,121,"Boys of St. Vincent, The (1993)",4,3.0
764,1198,Raiders of the Lost Ark (1981),5,3.0
765,513,Radioland Murders (1994),5,3.0
770,3087,Scrooged (1988),5,3.0
771,1286,Somewhere in Time (1980),3,3.0
773,2841,Stir of Echoes (1999),4,3.0
774,1221,"Godfather: Part II, The (1974)",4,4.0
779,2719,"Haunting, The (1999)",3,3.0
784,2581,Never Been Kissed (1999),2,3.0
785,2582,Twin Dragons (Shuang long hui) (1992),5,3.0
791,362,"Jungle Book, The (1994)",3,2.0
792,2968,Time Bandits (1981),4,3.0
793,616,"Aristocats, The (1970)",2,3.0
796,915,Sabrina (1954),3,3.0
