user_id,item_id,title,actual_rating,predicted_rating,is_rating_float
2,1213,GoodFellas (1990),2,4.0,True
12,1233,"Boat, The (Das Boot) (1981)",3,4.0,True
15,2997,Being John Malkovich (1999),2,4.0,True
17,2762,"Sixth Sense, The (1999)",5,4.0,True
18,2253,Toys (1992),1,3.0,True
19,1282,Fantasia (1940),3,4.0,True
24,1225,Amadeus (1984),4,4.0,True
28,144,"Brothers McMullen, The (1995)",2,4.0,True
33,1345,Carrie (1976),2,4.0,True
39,2599,Election (1999),5,0,True
42,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,4.0,True
44,3260,Howards End (1992),4,4.0,True
47,1949,"Man for All Seasons, A (1966)",4,4.0,True
48,590,Dances with Wolves (1990),3,3.0,True
49,349,Clear and Present Danger (1994),3,4.0,True
53,2815,Iron Eagle (1986),3,3.0,True
54,2788,And Now for Something Completely Different (1971),5,4.0,True
58,3328,Ghost Dog: The Way of the Samurai (1999),5,4.0,True
59,302,Queen Margot (La Reine Margot) (1994),2,4.0,True
62,1303,"Man Who Would Be King, The (1975)",3,4.0,True
80,3249,"Hand That Rocks the Cradle, The (1992)",3,4.0,True
81,1224,Henry V (1989),5,3.0,True
88,1090,Platoon (1986),3,4.0,True
89,1193,One Flew Over the Cuckoo's Nest (1975),5,4.0,True
95,1249,Nikita (La Femme Nikita) (1990),4,4.0,True
96,2020,Dangerous Liaisons (1988),4,4.0,True
99,1416,Evita (1996),1,3.0,True
102,3786,But I'm a Cheerleader (1999),1,4.0,True
104,2976,Bringing Out the Dead (1999),3,3.0,True
107,910,Some Like It Hot (1959),4,4.0,True
109,3061,Holiday Inn (1942),4,3.0,True
120,903,Vertigo (1958),3,4.0,True
123,2378,Police Academy (1984),3,4.0,True
131,1676,Starship Troopers (1997),1,4.0,True
136,337,What's Eating Gilbert Grape (1993),5,4.0,True
139,1347,"Nightmare on Elm Street, A (1984)",5,4.0,True
146,2183,"Man Who Knew Too Much, The (1956)",4,4.0,True
150,3499,Misery (1990),4,3.0,True
151,52,Mighty Aphrodite (1995),3,4.0,True
155,2124,"Addams Family, The (1991)",3,4.0,True
166,3623,Mission: Impossible 2 (2000),3,4.0,True
169,597,Pretty Woman (1990),2,4.0,True
175,1633,Ulee's Gold (1997),5,4.0,True
178,3921,Beach Party (1963),3,3.0,True
180,1132,Manon of the Spring (Manon des sources) (1986),4,4.0,True
190,1466,Donnie Brasco (1997),5,4.0,True
191,65,Bio-Dome (1996),2,3.0,True
192,2174,Beetlejuice (1988),3,4.0,True
195,2147,"Clan of the Cave Bear, The (1986)",3,4.0,True
196,50,"Usual Suspects, The (1995)",5,4.0,True
202,2398,Miracle on 34th Street (1947),4,4.0,True
206,3300,Pitch Black (2000),5,0,True
208,3685,Prizzi's Honor (1985),3,4.0,True
216,1228,Raging Bull (1980),3,4.0,True
224,515,"Remains of the Day, The (1993)",2,4.0,True
225,3317,Wonder Boys (2000),3,4.0,True
227,2710,"Blair Witch Project, The (1999)",2,4.0,True
230,1230,Annie Hall (1977),4,4.0,True
231,1291,Indiana Jones and the Last Crusade (1989),4,5.0,True
235,2241,Class (1983),2,0,True
236,2396,Shakespeare in Love (1998),4,4.0,True
242,500,Mrs. Doubtfire (1993),3,4.0,True
245,112,Rumble in the Bronx (1995),3,4.0,True
259,1834,"Spanish Prisoner, The (1997)",4,4.0,True
261,1411,Hamlet (1996),4,0,True
264,1527,"Fifth Element, The (1997)",4,4.0,True
265,908,North by Northwest (1959),4,4.0,True
266,904,Rear Window (1954),5,4.0,True
270,3168,Easy Rider (1969),5,4.0,True
272,356,Forrest Gump (1994),5,4.0,True
281,1192,Paris Is Burning (1990),3,5.0,True
285,1527,"Fifth Element, The (1997)",3,4.0,True
287,1784,As Good As It Gets (1997),4,4.0,True
291,1198,Raiders of the Lost Ark (1981),3,4.0,True
292,307,Three Colors: Blue (1993),4,4.0,True
293,833,High School High (1996),1,3.0,True
294,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",4,4.0,True
295,21,Get Shorty (1995),5,4.0,True
297,818,"Very Brady Sequel, A (1996)",2,4.0,True
299,1446,Kolya (1996),5,3.0,True
300,329,Star Trek: Generations (1994),3,4.0,True
301,3060,"Commitments, The (1991)",4,3.0,True
306,296,Pulp Fiction (1994),5,4.0,True
307,608,Fargo (1996),5,4.0,True
308,953,It's a Wonderful Life (1946),4,4.0,True
309,2571,"Matrix, The (1999)",5,0,True
312,3617,Road Trip (2000),3,4.0,True
314,1035,"Sound of Music, The (1965)",5,4.0,True
315,950,"Thin Man, The (1934)",4,4.0,True
317,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0,True
318,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0,True
319,1357,Shine (1996),3,3.0,True
326,161,Crimson Tide (1995),3,4.0,True
327,3788,Blowup (1966),4,4.0,True
329,185,"Net, The (1995)",2,4.0,True
331,1527,"Fifth Element, The (1997)",4,4.0,True
332,1633,Ulee's Gold (1997),5,4.0,True
333,924,2001: A Space Odyssey (1968),5,4.0,True
334,2291,Edward Scissorhands (1990),2,4.0,True
335,1391,Mars Attacks! (1996),1,4.0,True
339,3654,"Guns of Navarone, The (1961)",4,4.0,True
340,2728,Spartacus (1960),4,4.0,True
349,70,From Dusk Till Dawn (1996),2,3.0,True
352,919,"Wizard of Oz, The (1939)",5,4.0,True
353,2514,Pet Sematary II (1992),2,3.0,True
355,3354,Mission to Mars (2000),3,4.0,True
357,1592,Air Bud (1997),1,0,True
361,3751,Chicken Run (2000),4,4.0,True
366,588,Aladdin (1992),3,0,True
383,1193,One Flew Over the Cuckoo's Nest (1975),4,4.0,True
390,2900,Monkey Shines (1988),3,3.0,True
392,3175,Galaxy Quest (1999),4,4.0,True
393,535,Short Cuts (1993),3,4.0,True
402,3298,Boiler Room (2000),4,4.0,True
409,260,Star Wars: Episode IV - A New Hope (1977),5,5.0,True
411,1219,Psycho (1960),2,4.0,True
424,594,Snow White and the Seven Dwarfs (1937),5,5.0,True
425,356,Forrest Gump (1994),3,4.0,True
437,1196,Star Wars: Episode V - The Empire Strikes Back (1980),5,5.0,True
438,780,Independence Day (ID4) (1996),4,4.0,True
439,802,Phenomenon (1996),5,4.0,True
440,539,Sleepless in Seattle (1993),5,4.0,True
442,912,Casablanca (1942),5,5.0,True
444,1288,This Is Spinal Tap (1984),5,4.0,True
445,1200,Aliens (1986),3,0,True
450,608,Fargo (1996),5,4.0,True
451,3363,American Graffiti (1973),5,4.0,True
453,1254,"Treasure of the Sierra Madre, The (1948)",5,4.0,True
456,1240,"Terminator, The (1984)",4,4.0,True
457,1258,"Shining, The (1980)",5,0,True
460,1663,Stripes (1981),3,3.0,True
462,516,Renaissance Man (1994),3,3.0,True
464,2482,Still Crazy (1998),3,4.0,True
467,377,Speed (1994),3,3.0,True
473,3594,Center Stage (2000),4,0,True
477,2916,Total Recall (1990),4,0,True
479,3948,Meet the Parents (2000),5,4.0,True
480,3555,U-571 (2000),3,4.0,True
482,2126,Snake Eyes (1998),2,0,True
483,924,2001: A Space Odyssey (1968),4,4.0,True
489,3456,"Color of Paradise, The (Rang-e Khoda) (1999)",1,4.0,True
491,2915,Risky Business (1983),3,4.0,True
502,3244,"Goodbye Girl, The (1977)",4,0,True
504,1286,Somewhere in Time (1980),4,4.0,True
505,2971,All That Jazz (1979),5,4.0,True
507,1235,Harold and Maude (1971),5,0,True
509,1246,Dead Poets Society (1989),4,4.0,True
513,3863,"Cell, The (2000)",4,0,True
515,1169,American Dream (1990),5,4.0,True
516,588,Aladdin (1992),3,4.0,True
520,2109,"Jerk, The (1979)",5,4.0,True
524,3408,Erin Brockovich (2000),4,4.0,True
526,2905,Sanjuro (1962),5,4.0,True
529,1953,"French Connection, The (1971)",4,4.0,True
531,2804,"Christmas Story, A (1983)",3,4.0,True
533,372,Reality Bites (1994),2,4.0,True
537,2908,Boys Don't Cry (1999),4,4.0,True
540,2146,St. Elmo's Fire (1985),3,3.0,True
541,3147,"Green Mile, The (1999)",5,4.0,True
549,89,Nick of Time (1995),1,4.0,True
550,743,Spy Hard (1996),3,3.0,True
551,1358,Sling Blade (1996),4,4.0,True
554,2724,Runaway Bride (1999),2,4.0,True
558,1097,E.T. the Extra-Terrestrial (1982),5,0,True
560,2571,"Matrix, The (1999)",4,4.0,True
564,1262,"Great Escape, The (1963)",4,4.0,True
573,3176,"Talented Mr. Ripley, The (1999)",4,4.0,True
582,2050,Herbie Goes Bananas (1980),3,3.0,True
585,2968,Time Bandits (1981),4,4.0,True
587,1277,Cyrano de Bergerac (1990),4,4.0,True
588,3044,Dead Again (1991),4,4.0,True
591,1092,Basic Instinct (1992),3,4.0,True
599,2925,"Conformist, The (Il Conformista) (1970)",3,4.0,True
601,3253,Wayne's World (1992),3,4.0,True
611,2333,Gods and Monsters (1998),4,3.0,True
620,231,Dumb & Dumber (1994),3,4.0,True
622,2575,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",3,4.0,True
624,1274,Akira (1988),2,0,True
626,1242,Glory (1989),5,0,True
637,2140,"Dark Crystal, The (1982)",2,4.0,True
641,1204,Lawrence of Arabia (1962),5,4.0,True
650,3555,U-571 (2000),3,4.0,True
651,2701,Wild Wild West (1999),2,3.0,True
656,3606,On the Town (1949),3,4.0,True
660,296,Pulp Fiction (1994),5,4.0,True
661,2571,"Matrix, The (1999)",5,0,True
671,1245,Miller's Crossing (1990),4,4.0,True
673,3569,"Idiots, The (Idioterne) (1998)",5,3.0,True
677,1580,Men in Black (1997),4,4.0,True
679,2313,"Elephant Man, The (1980)",5,3.0,True
